"receiver_player_id","receiver_player_name","posteam","season","numGames","totalEPA","avgEPA","totalTD","numTgt","numRec","numYards","numFD","FDperTgt","recPerGame","tgtPerGame","yardsPerGame","catchPct","YAC","YACperRec","aDoT","player","tgt_share","wr_rank","num_rz_opps","conversion","explosive_rate","player_position","avg_separation","avg_intended_air_yards","catch_percentage","yac_above_expected","third_down_targets","third_down_conversions","third_down_rate","EPA_rank","td_rank","tgt_rank","YPG_rank","conversion_rank","explosive_rank","sep_rank","intended_air_rank","catch_rank","third_down_rank","yacOE_rank","yac_rank","myRank","myRankNum","TE_tier"
"00-0030506","T.Kelce","KC",2021,16,50.8031916963652,0.379128296241531,9,134,92,1134,65,0.485074626865672,5.75,8.375,70.875,0.686567164179104,564,6.1304347826087,7.41791044776119,"Travis Kelce",0.199404761904762,2,17,0.412,0.17910447761194,"TE",3.29307373784245,7.1195882459384,71.1568160389841,1.36030791578162,35,19,0.542857142857143,0.96875,0.953125,0.947368421052632,0.984375,0.806451612903226,0.75,0.453125,0.609375,0.6875,0.819672131147541,0.859375,0.796875,0.865926926691729,1,1
"00-0031610","D.Waller","LV",2020,16,57.38783374727,0.393067354433356,9,146,107,1198,69,0.472602739726027,6.6875,9.125,74.875,0.732876712328767,572,5.34579439252336,7.77931034482758,"Darren Waller",0.253913043478261,1,24,0.25,0.178082191780822,"TE",2.99612796455564,7.92549697814405,74.3116647129071,0.532953830978825,37,22,0.594594594594595,0.982758620689655,0.948275862068966,1,0.96551724137931,0.333333333333333,0.596491228070175,0.431034482758621,0.568965517241379,0.775862068965517,0.771929824561403,0.53448275862069,0.689655172413793,0.859530991972008,2,1
"00-0027656","R.Gronkowski","NE",2017,13,74.5829950866463,0.703613161194776,8,106,69,1086,57,0.537735849056604,5.30769230769231,8.15384615384615,83.5384615384615,0.650943396226415,345,5,11.552380952381,"Rob Gronkowski",0.197761194029851,1,23,0.261,0.349056603773585,"TE",2.28269187248164,11.5241475394975,63.527602027602,0.716487982181269,25,16,0.64,1,0.983606557377049,0.924528301886792,1,0.627118644067797,0.983333333333333,0.0491803278688525,0.934426229508197,0.508196721311475,0.933333333333333,0.754098360655738,0.540983606557377,0.856626610990824,1,1
"00-0030506","T.Kelce","KC",2023,15,48.0150151200757,0.396818306777485,5,121,93,991,51,0.421487603305785,6.2,8.06666666666667,66.0666666666667,0.768595041322314,470,5.05376344086022,6.66942148760331,"Travis Kelce",0.204737732656514,1,20,0.25,0.173553719008264,"TE",3.76969622828013,7.00440720040341,78.6131447116296,0.278601884925108,23,13,0.565217391304348,0.983050847457627,0.830508474576271,0.964285714285714,1,0.456140350877193,0.719298245614035,0.677966101694915,0.64406779661017,0.813559322033898,0.824561403508772,0.525423728813559,0.677966101694915,0.853344373276596,2,1
"00-0030506","T.Kelce","KC",2017,15,52.5736526140928,0.43093157880404,8,122,83,1038,55,0.450819672131148,5.53333333333333,8.13333333333333,69.2,0.680327868852459,406,4.89156626506024,9.72131147540984,"Travis Kelce",0.225092250922509,1,20,0.25,0.229508196721311,"TE",2.88680641542933,9.43804705969284,68.6651830475015,0.680366884365822,27,17,0.62962962962963,0.983606557377049,0.950819672131147,1,0.983606557377049,0.491525423728814,0.866666666666667,0.491803278688525,0.721311475409836,0.655737704918033,0.916666666666667,0.688524590163934,0.475409836065574,0.850892531876138,2,1
"00-0033288","G.Kittle","SF",2021,14,24.5743306412054,0.261429049374525,6,94,71,910,42,0.446808510638298,5.07142857142857,6.71428571428571,65,0.75531914893617,450,6.33802816901408,8.26595744680851,"George Kittle",0.205689277899344,2,9,0.444,0.24468085106383,"TE",2.93316282565408,8.4441632612856,71.6250140718226,2.15543391431985,23,10,0.434782608695652,0.859375,0.859375,0.964912280701754,0.953125,0.854838709677419,0.916666666666667,0.21875,0.734375,0.703125,0.540983606557377,0.96875,0.84375,0.84602879481312,2,1
"00-0034351","D.Goedert","PHI",2021,15,53.383431919151,0.693291323625337,4,77,56,832,42,0.545454545454545,3.73333333333333,5.13333333333333,55.4666666666667,0.727272727272727,386,6.89285714285714,8.46052631578947,"Dallas Goedert",0.167391304347826,2,8,0.25,0.311688311688312,"TE",3.43982066215839,9.47839946457052,75.0355054302423,1.45677275167204,21,12,0.571428571428571,0.984375,0.640625,0.859649122807018,0.90625,0.483870967741935,1,0.578125,0.828125,0.734375,0.868852459016393,0.890625,0.90625,0.84359531641604,3,1
"00-0027656","R.Gronkowski","TB",2021,12,32.7143257656176,0.367576693995703,6,89,55,802,34,0.382022471910112,4.58333333333333,7.41666666666667,66.8333333333333,0.617977528089888,350,6.36363636363636,10.0786516853933,"Rob Gronkowski",0.162112932604736,3,12,0.417,0.258426966292135,"TE",3.46315752346847,9.530072368019,63.6930672323931,1.1612857261266,18,10,0.555555555555556,0.90625,0.90625,0.824561403508772,0.96875,0.82258064516129,0.933333333333333,0.625,0.84375,0.453125,0.836065573770492,0.796875,0.859375,0.843171600877193,4,1
"00-0033288","G.Kittle","SF",2020,8,36.2131399317473,0.565830311433551,2,64,48,634,33,0.515625,6,8,79.25,0.75,297,6.1875,7.3015873015873,"George Kittle",0.216949152542373,1,5,0.2,0.203125,"TE",3.78119716601701,6.68280109126984,75.6746031746032,2.1000586155641,14,7,0.5,0.931034482758621,0.431034482758621,0.946428571428571,0.982758620689655,0.228070175438596,0.719298245614035,0.775862068965517,0.206896551724138,0.793103448275862,0.543859649122807,0.931034482758621,0.879310344827586,0.839813434448189,3,1
"00-0034753","M.Andrews","BAL",2023,10,33.1817638412758,0.54396334166026,6,61,45,544,27,0.442622950819672,4.5,6.1,54.4,0.737704918032787,217,4.82222222222222,7.26229508196721,"Mark Andrews",0.196774193548387,2,14,0.429,0.180327868852459,"TE",3.02111891791537,8.01215771098968,75.5115361262902,0.121439174473762,12,7,0.583333333333333,0.949152542372881,1,0.946428571428571,0.915254237288136,0.87719298245614,0.824561403508772,0.203389830508475,0.813559322033898,0.728813559322034,0.87719298245614,0.457627118644068,0.627118644067797,0.833131823202073,3,1
