"receiver_player_id","receiver_player_name","posteam","season","numGames","totalEPA","avgEPA","totalTD","numTgt","numRec","numYards","numFD","FDperTgt","recPerGame","tgtPerGame","yardsPerGame","catchPct","YAC","YACperRec","aDoT","player","tgt_share","wr_rank","num_rz_opps","conversion","explosive_rate","player_position","avg_separation","avg_intended_air_yards","catch_percentage","yac_above_expected","third_down_targets","third_down_conversions","third_down_rate","EPA_rank","tgt_rank","YPG_rank","td_rank","conversion_rank","explosive_rank","sep_rank","intended_air_rank","catch_rank","third_down_rank","first_down_rank","yacOE_rank","YACperRec_rank","myRank","myRankNum","qbTier"
"00-0031941","J.Crowder","NYJ",2019,16,5.13715343588669,0.0421078150482516,6,122,78,833,42,0.344262295081967,4.875,7.625,52.0625,0.639344262295082,353,4.52564102564103,7.95081967213115,"Jamison Crowder",0.212173913043478,1,16,0.25,0.180327868852459,"WR",2.95257778175136,8.61938134040502,62.9311828390903,0.788460042178896,41,19,0.463414634146341,0.266272189349112,0.857142857142857,0.72189349112426,0.692307692307692,0.601307189542484,0.452830188679245,0.63905325443787,0.224852071005917,0.579881656804734,0.583333333333333,0.343195266272189,0.736526946107784,0.660714285714286,0.634004337506453,44,8
"00-0030085","K.Stills","MIA",2017,16,14.644295740571,0.139469483243533,7,105,58,847,36,0.342857142857143,3.625,6.5625,52.9375,0.552380952380952,159,2.74137931034483,14.8095238095238,"Kenny Stills",0.165354330708661,3,10,0.2,0.20952380952381,"WR",2.69489837948337,15.6161996845747,51.3797313797314,-0.319966097956175,28,13,0.464285714285714,0.490066225165563,0.640350877192982,0.781456953642384,0.801324503311258,0.468085106382979,0.732394366197183,0.649006622516556,0.927152317880795,0.271523178807947,0.728476821192053,0.410596026490066,0.278145695364238,0.2,0.633996894694529,38,8
"00-0037091","B.Melton","GB",2023,4,8.5401992232493,0.355841634302054,1,24,16,218,13,0.541666666666667,4,6,54.5,0.666666666666667,37,2.3125,11.125,"Bo Melton",0.141176470588235,4,4,0.25,0.208333333333333,"WR",3.13534168329233,11.4701851851852,68.2539682539683,-0.0210410679477665,10,6,0.6,0.767123287671233,0.578571428571429,0.732876712328767,0.575342465753425,0.511111111111111,0.635714285714286,0.719178082191781,0.60958904109589,0.753424657534247,0.931034482758621,0.972602739726027,0.310344827586207,0.10958904109589,0.633321917808219,44,8
"00-0036196","G.Davis","BUF",2022,15,14.6900578337947,0.157957611116072,7,93,48,836,35,0.376344086021505,3.2,6.2,55.7333333333333,0.516129032258065,142,2.95833333333333,15.3548387096774,"Gabriel Davis",0.164310954063604,2,16,0.188,0.268817204301075,"WR",2.8334174734454,16.7813674347158,53.5678443420379,0.928130298430979,27,12,0.444444444444444,0.416107382550336,0.645454545454546,0.778523489932886,0.87248322147651,0.464285714285714,0.881944444444444,0.483221476510067,0.979865771812081,0.194630872483221,0.543624161073825,0.516778523489933,0.718120805369127,0.214765100671141,0.632658675683005,33,8
"00-0032688","R.Anderson","CAR",2020,16,28.1395706541867,0.205398325942968,3,137,95,1098,50,0.364963503649635,5.9375,8.5625,68.625,0.693430656934307,494,5.2,9.69117647058824,"Robby Anderson",0.233788395904437,1,16,0.062,0.167883211678832,"WR",2.85560025602549,9.93887774096338,69.5346329948406,0.751229450675614,29,9,0.310344827586207,0.4,0.959731543624161,0.884848484848485,0.363636363636364,0.25974025974026,0.335443037974684,0.496969696969697,0.43030303030303,0.715151515151515,0.16969696969697,0.351515151515152,0.696969696969697,0.75,0.632038732305907,48,8
"00-0033375","T.Patrick","DEN",2021,16,37.6587988242859,0.443044692050422,6,85,53,734,39,0.458823529411765,3.3125,5.3125,45.875,0.623529411764706,202,3.81132075471698,11.7058823529412,"Tim Patrick",0.153429602888087,3,11,0.182,0.211764705882353,"WR",2.53418275183115,12.5853159041394,57.5108932461874,0.766711092055539,17,9,0.529411764705882,0.81547619047619,0.610738255033557,0.672619047619048,0.696428571428571,0.422360248447205,0.694267515923567,0.267857142857143,0.714285714285714,0.30952380952381,0.761904761904762,0.857142857142857,0.654761904761905,0.473053892215569,0.631984309648962,43,8
"00-0032385","S.Shepard","NYG",2018,16,35.7072967593895,0.330623118142495,4,108,66,874,47,0.435185185185185,4.125,6.75,54.625,0.611111111111111,309,4.68181818181818,10.1121495327103,"Sterling Shepard",0.170347003154574,2,20,0.2,0.194444444444444,"WR",3.08859878041205,10.4575545913069,60.6915146120754,0.735564728178535,35,17,0.485714285714286,0.65625,0.702479338842975,0.78125,0.45625,0.350993377483444,0.602564102564103,0.725,0.45,0.4375,0.68125,0.7125,0.685534591194969,0.65625,0.631784787182514,37,8
"00-0036415","V.Jefferson","LA",2021,17,33.4069923770251,0.375359464910395,6,89,50,802,32,0.359550561797753,2.94117647058824,5.23529411764706,47.1764705882353,0.561797752808989,220,4.4,13.4269662921348,"Van Jefferson",0.138845553822153,4,15,0.2,0.213483146067416,"WR",2.77741393237833,14.1443446447435,54.6695065234391,0.000186894312190326,18,12,0.666666666666667,0.720238095238095,0.577181208053691,0.696428571428571,0.672619047619048,0.453416149068323,0.707006369426752,0.458333333333333,0.821428571428571,0.220238095238095,0.94047619047619,0.458333333333333,0.375,0.616766467065868,0.630732026292512,44,8
"00-0033009","T.Boyd","CIN",2020,15,37.6287697381049,0.342079724891862,4,110,79,841,45,0.409090909090909,5.26666666666667,7.33333333333333,56.0666666666667,0.718181818181818,350,4.43037974683544,8.54545454545454,"Tyler Boyd",0.187074829931973,1,16,0.188,0.145454545454545,"WR",2.74913498571918,8.18278538555462,74.2777948547179,0.294725367149709,27,15,0.555555555555556,0.606060606060606,0.74496644295302,0.745454545454545,0.545454545454545,0.422077922077922,0.240506329113924,0.418181818181818,0.2,0.848484848484849,0.8,0.515151515151515,0.527272727272727,0.585365853658537,0.630488917931247,49,8
"00-0030279","K.Allen","CHI",2024,15,21.2708398955505,0.172933657687403,7,123,70,744,43,0.349593495934959,4.66666666666667,8.2,49.6,0.56910569105691,240,3.42857142857143,9.21487603305785,"Keenan Allen",0.227777777777778,1,17,0.294,0.130081300813008,"WR",2.905600259216,9.74424029650004,57.6074466658882,-0.247320448763761,36,12,0.333333333333333,0.447368421052632,0.877862595419847,0.68421052631579,0.80921052631579,0.63448275862069,0.202797202797203,0.526315789473684,0.342105263157895,0.302631578947368,0.256578947368421,0.388157894736842,0.203947368421053,0.407894736842105,0.630010624837865,42,8
