"","player_name","season","team","games","total_targets","total_receptions","total_receiving_yards","total_receiving_tds","catch_rate","receiving_yards_per_game","targets_per_game","total_receiving_epa","rec_epa_per_target","yards_per_target","yards_per_reception","total_air_yards","total_yac","avg_separation","avg_racr","avg_wopr","total_explosive_catches","explosive_rate","total_fantasy_points","fantasy_points_per_game"
"11","A.Rogers",2022,"WAS",5,6,5,64,0,83.3333333333333,12.8,1.2,3.62085561174899,0.603475935291499,10.6666666666667,12.8,13,57,NA,1.64444444444444,0.110671750870488,2,40,14,2.8
"12","A.Trautman",2022,"NO",12,22,18,207,1,81.8181818181818,17.25,1.83333333333333,8.53289979166584,0.387859081439356,9.40909090909091,11.5,118,123,NA,2.47876984126984,0.131776776049116,4,22.2222222222222,44.7,3.725
"13","A.Trautman",2023,"DEN",16,35,22,204,3,62.8571428571429,12.75,2.1875,-1.09609563059367,-0.0313170180169621,5.82857142857143,9.27272727272727,226,98,4.41121726238215,0.824527872604982,0.178095881492497,5,22.7272727272727,60.4,3.775
"14","A.Trautman",2024,"DEN",14,23,14,190,2,60.8695652173913,13.5714285714286,1.64285714285714,5.49940689236973,0.239104647494336,8.26086956521739,13.5714285714286,127,98,NA,2.09783702725609,0.102617930085192,3,21.4285714285714,45,3.21428571428571
"15","B.Bates",2024,"CLE",1,1,0,0,0,0,0,1,-0.801100357901305,-0.801100357901305,0,NA,-2,0,NA,0,0.0398989898989899,0,NA,0,0
"16","B.Bell",2022,"KC",3,4,3,24,1,75,8,1.33333333333333,0.968043552886229,0.242010888221557,6,8,25,8,NA,0.574786324786325,0.0869403856480961,0,0,11.4,3.8
"17","B.Bell",2023,"KC",6,9,5,26,1,55.5555555555556,4.33333333333333,1.5,-12.218715450319,-1.35763505003544,2.88888888888889,5.2,30,19,NA,0.389957264957265,0.0780156822766144,0,0,11.6,1.93333333333333
"18","B.Bowers",2024,"LV",17,153,112,1194,5,73.202614379085,70.2352941176471,9,27.1055814055351,0.177160662781275,7.80392156862745,10.6607142857143,923,596,3.3045448758506,1.38388843004207,0.545345290139473,16,14.2857142857143,262.7,15.4529411764706
"19","B.Cupp",2024,"KC",1,1,0,0,0,0,0,1,-0.678179833921604,-0.678179833921604,0,NA,0,0,NA,NA,0.0416666666666667,0,NA,0,0
"20","B.Ellefson",2022,"MIN",2,3,3,26,0,100,13,1.5,0.745387402595952,0.248462467531984,8.66666666666667,8.66666666666667,15,11,NA,1.85714285714286,0.0826502097644441,1,33.3333333333333,5.6,2.8
"21","B.Hopkins",2022,"LA",7,11,7,109,0,63.6363636363636,15.5714285714286,1.57142857142857,0.946936732935187,0.0860851575395625,9.90909090909091,15.5714285714286,113,33,NA,0.778811126653844,0.166287076558184,2,28.5714285714286,17.9,2.55714285714286
"22","B.Hopkins",2023,"LA",4,7,5,78,0,71.4285714285714,19.5,1.75,3.05575129084173,0.436535898691675,11.1428571428571,15.6,66,32,NA,3.19897084048027,0.158903951801382,2,40,12.8,3.2
"23","B.Jordan",2022,"HOU",9,28,14,128,0,50,14.2222222222222,3.11111111111111,-13.6912652464542,-0.488973758801934,4.57142857142857,9.14285714285714,205,78,4.65485298348697,1.26551827801828,0.201139478434094,3,21.4285714285714,26.8,2.97777777777778
"24","B.Jordan",2023,"HOU",11,23,18,295,3,78.2608695652174,26.8181818181818,2.09090909090909,22.5885798480595,0.982112167306933,12.8260869565217,16.3888888888889,121,196,5.02120612369844,4.29636657277866,0.125562318897795,5,27.7777777777778,65.5,5.95454545454545
"25","B.Jordan",2024,"HOU",2,3,2,7,0,66.6666666666667,3.5,1.5,1.45120431156829,0.483734770522763,2.33333333333333,3.5,1,3,NA,0.666666666666667,0.0716931071003045,0,0,2.7,1.35
"26","B.Sims",2023,"GB",7,7,5,25,1,71.4285714285714,3.57142857142857,1,1.70607967901742,0.24372566843106,3.57142857142857,5,32,20,NA,0.857142857142857,0.0596983051926125,0,0,13.5,1.92857142857143
