"","player_name","season","team","games","total_targets","total_receptions","total_receiving_yards","total_receiving_tds","catch_rate","receiving_yards_per_game","targets_per_game","total_receiving_epa","rec_epa_per_target","yards_per_target","yards_per_reception","total_air_yards","total_yac","avg_separation","avg_racr","avg_wopr","total_explosive_catches","explosive_rate","total_fantasy_points","fantasy_points_per_game"
"18","A.Isabella",2022,"ARI",2,5,2,21,0,40,10.5,2.5,0.35335567645006,0.0706711352900119,4.2,10.5,70,5,NA,0.304166666666667,0.171415086182049,0,0,4.1,2.05
"19","A.Isabella",2022,"BAL",1,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,0.1,0.1
"20","A.Isabella",2023,"BUF",1,1,0,0,0,0,0,1,-0.428989585954696,-0.428989585954696,0,NA,-6,0,NA,0,0.0283505154639175,0,NA,0,0
"21","A.Lazard",2022,"GB",15,100,60,788,6,60,52.5333333333333,6.66666666666667,12.2582007338773,0.122582007338773,7.88,13.1333333333333,1249,248,2.62288358372502,1.05996347390053,0.51516485088383,13,21.6666666666667,174.8,11.6533333333333
"22","A.Lazard",2023,"NYJ",13,49,23,311,1,46.9387755102041,23.9230769230769,3.76923076923077,0.376879264775198,0.00769141356684077,6.3469387755102,13.5217391304348,597,56,1.84967773491211,0.461547882818516,0.332814739236076,7,30.4347826086957,60.1,4.62307692307692
"23","A.Lazard",2024,"NYJ",12,61,37,530,6,60.655737704918,44.1666666666667,5.08333333333333,29.9262321103569,0.490593969022245,8.68852459016393,14.3243243243243,686,155,2.63603196123835,1.14953021776674,0.38473716338097,8,21.6216216216216,126,10.5
"24","A.Miller",2024,"BAL",3,5,5,44,0,100,14.6666666666667,1.66666666666667,3.73237659025472,0.746475318050943,8.8,8.8,30,14,NA,2.05252525252525,0.175019494836099,0,0,9.4,3.13333333333333
"25","A.Mitchell",2024,"IND",17,55,23,312,0,41.8181818181818,18.3529411764706,3.23529411764706,-4.95154687589923,-0.0900281250163497,5.67272727272727,13.5652173913043,775,101,3.2310225562222,0.722794364828403,0.280392484131706,8,34.7826086956522,53.76,3.16235294117647
"26","A.Perry",2023,"NO",8,18,12,246,4,66.6666666666667,30.75,2.25,19.0714940344568,1.05952744635871,13.6666666666667,20.5,293,20,NA,0.82043813944676,0.221831633979025,6,50,60.6,7.575
"27","A.Pierce",2022,"IND",16,78,41,593,2,52.5641025641026,37.0625,4.875,19.4288318037164,0.249087587227134,7.6025641025641,14.4634146341463,914,113,1.82666238350685,0.766764712224738,0.408925849494417,11,26.8292682926829,112.3,7.01875
"28","A.Pierce",2023,"IND",17,65,32,514,2,49.2307692307692,30.2352941176471,3.82352941176471,17.1916585591053,0.264487054755466,7.90769230769231,16.0625,977,97,2.37181185706955,0.620537805023767,0.332026136847423,12,37.5,95.4,5.61176470588235
"29","A.Pierce",2024,"IND",16,69,37,824,7,53.6231884057971,51.5,4.3125,40.3030859059619,0.584102694289303,11.9420289855072,22.2702702702703,1500,118,2.75431756689174,0.576497737453787,0.426667481751496,10,27.027027027027,161.4,10.0875
"30","A.Robinson",2022,"LA",10,52,33,339,3,63.4615384615385,33.9,5.2,9.00320497282046,0.173138557169624,6.51923076923077,10.2727272727273,502,71,2.1492713758916,0.69190496530371,0.400973000424646,7,21.2121212121212,84.9,8.49
"31","A.Robinson",2023,"PIT",16,52,36,292,0,69.2307692307692,18.25,3.25,-5.88045139913511,-0.113085603829521,5.61538461538461,8.11111111111111,374,81,2.57048468834314,0.889854403418812,0.232541411719306,6,16.6666666666667,65.2,4.075
"32","A.Robinson",2024,"DET",6,7,3,30,0,42.8571428571429,5,1.16666666666667,1.33749401090005,0.191070572985721,4.28571428571429,10,51,4,NA,0.456937799043062,0.103727901327685,1,33.3333333333333,6,1
"33","A.Rodgers",2022,"GB",4,8,4,50,0,50,12.5,2,-3.77731741365278,-0.472164676706598,6.25,12.5,94,11,NA,0.712390350877193,0.161647144432297,1,25,9,2.25
"34","A.Rodgers",2022,"HOU",5,17,12,154,1,70.5882352941177,30.8,3.4,8.47974052478094,0.498808266163584,9.05882352941176,12.8333333333333,146,52,2.02959352693996,1.32025126059861,0.267356744900582,4,33.3333333333333,34.1,6.82
"35","A.Rodgers",2023,"IND",1,2,0,0,0,0,0,2,-2.00355665071402,-1.00177832535701,0,NA,30,0,NA,0,0.111263736263736,0,NA,0,0
"36","A.Schwartz",2022,"CLE",6,10,4,51,0,40,8.5,1.66666666666667,-7.99063903058413,-0.799063903058413,5.1,12.75,142,27,NA,1.1108024691358,0.122887473713086,0,0,18.8,3.13333333333333
"37","A.Smith",2024,"PHI",3,9,7,41,1,77.7777777777778,13.6666666666667,3,-0.639199768542312,-0.0710221965047013,4.55555555555556,5.85714285714286,38,23,2.58525445737614,2.2991452991453,0.177643738259596,1,14.2857142857143,17.7,5.9
"38","A.St. Brown",2022,"DET",16,146,106,1161,6,72.6027397260274,72.5625,9.125,57.1900987980576,0.391713005466148,7.95205479452055,10.9528301886792,933,531,3.03319385825491,1.16498007998679,0.618198085265387,14,13.2075471698113,267.6,16.725
"39","A.St. Brown",2023,"DET",19,198,141,1789,11,71.2121212121212,94.1578947368421,10.4210526315789,85.8828197942932,0.433751615122693,9.03535353535353,12.6879432624113,1521,791,3.16944051222742,1.20853801246654,0.685352353682948,19,13.4751773049645,386.5,20.3421052631579
"40","A.St. Brown",2024,"DET",18,151,123,1400,12,81.4569536423841,77.7777777777778,8.38888888888889,106.900665692604,0.707951428427838,9.27152317880795,11.3821138211382,1170,473,3.1085806579665,1.26263346573236,0.613996001062954,16,13.0081300813008,337.88,18.7711111111111
"41","A.Thielen",2022,"MIN",18,111,73,766,6,65.7657657657658,42.5555555555556,6.16666666666667,14.4873815933149,0.130516951291125,6.9009009009009,10.4931506849315,1108,157,2.72811981995709,0.718945858794467,0.414631980901712,15,20.5479452054795,188,10.4444444444444
"42","A.Thielen",2023,"CAR",17,137,103,1014,4,75.1824817518248,59.6470588235294,8.05882352941176,59.6753974883863,0.435586842980922,7.4014598540146,9.84466019417476,1058,340,3.02444177928106,1.00835844497394,0.564072371971567,14,13.5922330097087,231,13.5882352941176
