"","player_name","season","team","games","total_attempts","total_completions","total_passing_yards","total_passing_tds","total_interceptions","completion_pct","yards_per_attempt","yards_per_game","total_passing_epa","pass_epa_per_att","avg_cpoe","td_pct","int_pct","total_sacks","sack_rate","avg_time_to_throw","total_carries","total_rushing_yards","total_rushing_tds","rushing_yards_per_carry","total_fantasy_points","fantasy_points_per_game"
"74","D.Thompson-Robinson",2023,"CLE",7,112,60,440,1,4,53.5714285714286,3.92857142857143,62.8571428571429,-38.5801300967777,-0.344465447292658,-8.63497241249512,0.892857142857143,3.57142857142857,6,5.08474576271187,2.81717601937514,14,65,0,4.64285714285714,22.1,3.15714285714286
"75","D.Thompson-Robinson",2024,"CLE",6,118,61,440,0,6,51.6949152542373,3.72881355932203,73.3333333333333,-71.1411469733575,-0.602891076045403,-14.3813555841319,0,5.08474576271187,8,6.34920634920635,2.70354039771937,21,122,0,5.80952380952381,15.8,2.63333333333333
"76","D.Watson",2022,"CLE",6,170,99,1102,7,5,58.2352941176471,6.48235294117647,183.666666666667,-23.8906520442856,-0.140533247319327,-4.7661781075607,4.11764705882353,2.94117647058824,20,10.5263157894737,3.29055832324784,36,175,1,4.86111111111111,85.58,14.2633333333333
"77","D.Watson",2023,"CLE",6,171,105,1115,7,4,61.4035087719298,6.52046783625731,185.833333333333,-18.950161800698,-0.110819659653205,-1.69083570650689,4.09356725146199,2.33918128654971,17,9.04255319148936,3.03727939732006,26,142,1,5.46153846153846,86.8,14.4666666666667
"78","D.Watson",2024,"CLE",7,216,137,1148,5,3,63.4259259259259,5.31481481481481,164,-62.5942760071116,-0.289788314847739,-0.66155232480858,2.31481481481481,1.38888888888889,33,13.2530120481928,2.96799797864896,31,148,1,4.7741935483871,76.72,10.96
"79","D.Webb",2022,"NYG",1,40,23,168,1,0,57.5,4.2,168,-1.51632553584138,-0.0379081383960344,-2.82657051458956,2.5,0,0,0,2.98265,6,41,1,6.83333333333333,20.82,20.82
"80","E.Stick",2023,"LAC",5,174,111,1129,3,1,63.7931034482759,6.48850574712644,225.8,-34.0119861157923,-0.195471184573519,-2.47943769138959,1.72413793103448,0.574712643678161,14,7.4468085106383,2.83401424092129,27,144,1,5.33333333333333,67.56,13.512
"81","G.Minshew",2022,"PHI",6,76,44,663,3,3,57.8947368421053,8.72368421052632,110.5,7.4255315409884,0.0977043623814263,-1.43691940698773,3.94736842105263,3.94736842105263,6,7.31707317073171,2.89409334935897,9,1,1,0.111111111111111,36.62,6.10333333333333
"82","G.Minshew",2023,"IND",16,490,305,3305,15,9,62.2448979591837,6.74489795918367,206.5625,-5.75170655365336,-0.0117381766401089,-1.09816802321736,3.06122448979592,1.83673469387755,34,6.48854961832061,2.74319250136688,34,100,3,2.94117647058824,196.2,12.2625
"83","G.Minshew",2024,"LV",10,306,203,2013,9,10,66.3398692810458,6.57843137254902,201.3,-47.0637727828345,-0.153803179028871,0.374183375971679,2.94117647058824,3.26797385620915,29,8.65671641791045,2.68247876628447,19,58,0,3.05263157894737,96.32,9.632
"84","G.Smith",2022,"SEA",18,607,424,4535,32,12,69.8517298187809,7.47116968698517,251.944444444444,32.5334669896603,0.0535971449582543,5.02782821068297,5.27182866556837,1.97693574958814,49,7.46951219512195,2.81761267637358,72,394,1,5.47222222222222,320.8,17.8222222222222
"85","G.Smith",2023,"SEA",15,499,323,3624,20,9,64.7294589178357,7.2625250501002,241.6,32.4405365141742,0.0650110952187859,1.86485608996783,4.00801603206413,1.80360721442886,31,5.84905660377358,2.83011586503458,37,155,1,4.18918918918919,226.26,15.084
"86","G.Smith",2024,"SEA",17,578,407,4320,21,15,70.4152249134948,7.47404844290657,254.117647058824,24.5940963877961,0.0425503397712735,3.7314470041434,3.63321799307958,2.59515570934256,50,7.96178343949045,2.8384749370009,53,272,2,5.13207547169811,266,15.6470588235294
"87","H.Hooker",2024,"DET",3,9,6,62,0,0,66.6666666666667,6.88888888888889,20.6666666666667,-2.0768875653945,-0.230765285043833,NA,0,0,1,10,NA,5,2,0,0.4,2.68,0.893333333333333
"88","J.Allen",2022,"BUF",18,648,407,4899,38,17,62.8086419753086,7.56018518518519,272.166666666667,87.1047151487008,0.134420856710958,-1.49353020072288,5.8641975308642,2.62345679012346,41,5.95065312046444,2.91839560199059,136,808,8,5.94117647058824,434.76,24.1533333333333
