"","player_name","week","season","team","opponent_team","carries","rushing_yards","rushing_tds","yards_per_carry","rushing_epa","rush_epa_per_att","rushing_fumbles","rushing_fumbles_lost","rush_efficiency","ryoe_per_att","yards_before_contact","percent_attempts_gte_eight_defenders","targets","receptions","receiving_yards","receiving_tds","catch_rate","target_share","air_yards_share","receiving_air_yards","receiving_yards_after_catch","rec_epa_per_target","yards_per_target","yards_per_reception","avg_separation","yac_above_expected","total_touches","total_yards","total_tds","fantasy_points","fantasy_points_ppr"
"52","C.Patterson",4,2022,"ATL","CLE",9,38,1,4.22222222222222,-0.784921490296256,-0.0872134989218062,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,9,38,1,9.8,9.8
"53","C.Patterson",9,2022,"ATL","LAC",13,44,2,3.38461538461538,3.07743816135917,0.236726012412244,0,0,4.28840909090909,-0.379591361708888,53.8693754044311,38.4615384615385,1,1,9,0,100,0.0434782608695652,0.00583090379008746,2,7,0.834716008976102,9,9,NA,NA,14,53,2,17.3,18.3
"54","C.Patterson",10,2022,"ATL","CAR",5,18,0,3.6,-0.927065421594307,-0.185413084318861,0,0,NA,NA,NA,NA,1,1,2,0,100,0.0344827586206897,0.00571428571428571,2,0,-1.08929995875224,2,2,NA,NA,6,20,0,2,3
"55","C.Patterson",11,2022,"ATL","CHI",10,52,0,5.2,-4.62481836538063,-0.462481836538063,1,1,4.2475,1.06201042306794,30.7597915386412,50,2,2,7,0,100,0.111111111111111,-0.0673076923076923,-7,14,-0.646555484156124,3.5,3.5,NA,NA,12,59,0,9.9,11.9
"56","C.Patterson",12,2022,"ATL","WAS",11,52,0,4.72727272727273,-0.508628406678326,-0.046238946061666,0,0,4.22038461538462,1.62311195025797,4.5377609948406,36.3636363636364,5,3,19,0,60,0.208333333333333,0.114285714285714,16,3,-1.12327713869463,3.8,6.33333333333333,NA,NA,14,71,0,7.1,10.1
"57","C.Patterson",13,2022,"ATL","PIT",11,60,0,5.45454545454545,0.589812237827573,0.0536192943479612,0,0,3.659,0.736028917605634,40.2794216478873,63.6363636363636,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,11,60,0,6,6
"58","C.Patterson",15,2022,"ATL","NO",14,52,1,3.71428571428571,0.453611332864966,0.0324008094903547,0,0,5.21384615384615,0.112680358417807,48.8449499643014,35.7142857142857,3,1,0,0,33.3333333333333,0.115384615384615,0.156118143459916,37,4,-1.04992241575383,0,0,NA,NA,15,52,1,11.2,12.2
"59","C.Patterson",16,2022,"ATL","BAL",8,17,0,2.125,-4.78812839909349,-0.598516049886686,0,0,NA,NA,NA,NA,1,1,14,0,100,0.032258064516129,-0.035,-7,21,0.612671229697298,14,14,NA,NA,9,31,0,3.1,4.1
"60","C.Patterson",17,2022,"ATL","ARI",9,42,1,4.66666666666667,-0.124449307884788,-0.0138277008760876,0,0,NA,NA,NA,NA,8,6,42,0,75,0.32,0.0827067669172932,11,33,0.023810601888028,5.25,7,NA,NA,15,84,1,14.4,20.4
"61","C.Patterson",18,2022,"ATL","TB",5,18,1,3.6,1.6776681105548,0.335533622110961,0,0,NA,NA,NA,NA,3,2,1,0,66.6666666666667,0.107142857142857,0.0029940119760479,1,10,-0.824126473608582,0.333333333333333,0.5,NA,NA,7,19,1,7.9,9.9
"62","D.Williams",1,2022,"ATL","NO",2,2,0,1,-1.12978465296328,-0.56489232648164,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,2,2,0,0.2,0.2
"63","J.McKinnon",1,2022,"KC","ARI",4,22,0,5.5,-0.43029585108161,-0.107573962770402,0,0,NA,NA,NA,NA,4,3,27,0,75,0.102564102564103,-0.00986842105263158,-3,41,0.344456793704012,6.75,9,NA,NA,7,49,0,4.9,7.9
"64","J.McKinnon",2,2022,"KC","LAC",4,12,0,3,-0.535119197273161,-0.13377979931829,0,0,NA,NA,NA,NA,2,2,4,1,100,0.0588235294117647,0.00411522633744856,1,3,0.252699203003431,2,2,NA,NA,6,16,1,7.6,9.6
"65","J.McKinnon",3,2022,"KC","IND",7,20,0,2.85714285714286,-1.7641688483418,-0.252024121191685,0,0,NA,NA,NA,NA,1,0,0,0,0,0.0303030303030303,0.0105263157894737,3,0,-0.519899334234651,0,NA,NA,NA,7,20,0,2,2
