"playerId","name","position","team","season","age","experience","jersey_number","height","weight","college","status","contract_status","contractYearsRemaining","marketValue","overallRating","annualSalary","positionImportance","ageTier","isRookie","isVeteran","isActive","hasInjuryConcerns","durabilityScore","entry_year","rookie_year"
"John_Jenkins_LV_2024","John Jenkins","DL","LV",2024,35,11,95,"75",327,"Georgia","ACT","veteran",4,6.2,85,0.9,0.4,"aging",FALSE,TRUE,TRUE,FALSE,85,2013,2013
"Sam_Martin_BUF_2024","Sam Martin","P","BUF",2024,34,11,8,"73",211,"Appalachian State","ACT","veteran",4,1.9,85,0.3,0.15,"aging",FALSE,TRUE,TRUE,FALSE,85,2013,2013
"David_Quessenberry_MIN_2024","David Quessenberry","OL","MIN",2024,34,11,76,"77",310,"San Jose State","ACT","veteran",4,6.2,85,0.9,0.4,"aging",FALSE,TRUE,TRUE,FALSE,85,2013,2013
"Dustin_Hopkins_CLE_2024","Dustin Hopkins","K","CLE",2024,34,11,7,"74",203,"Florida State","ACT","veteran",4,2.5,85,0.4,0.2,"aging",FALSE,TRUE,TRUE,FALSE,85,2013,2013
"Jordan_Poyer_MIA_2024","Jordan Poyer","DB","MIA",2024,33,11,21,"72",191,"Oregon State","ACT","veteran",4,8.8,85,1.3,0.4,"aging",FALSE,TRUE,TRUE,FALSE,85,2013,2013
"Tress_Way_WAS_2024","Tress Way","P","WAS",2024,34,11,10,"73",220,"Oklahoma","ACT","veteran",4,1.9,85,0.3,0.15,"aging",FALSE,TRUE,TRUE,FALSE,85,2013,2013
"Keenan_Allen_CHI_2024","Keenan Allen","WR","CHI",2024,32,11,13,"74",211,"California","ACT","veteran",4,17.5,95,2.6,0.75,"aging",FALSE,TRUE,TRUE,FALSE,85,2013,2013
"Tony_Jefferson_LAC_2024","Tony Jefferson","DB","LAC",2024,32,11,23,"71",212,"Oklahoma","ACT","veteran",4,8.8,95,1.3,0.4,"aging",FALSE,TRUE,TRUE,FALSE,85,2013,2013
"William_Gholston_TB_2024","William Gholston","DL","TB",2024,33,11,92,"78",281,"Michigan State","ACT","veteran",4,8.8,85,1.3,0.4,"aging",FALSE,TRUE,TRUE,FALSE,85,2013,2013
"Robert_Woods_HOU_2024","Robert Woods","WR","HOU",2024,32,11,2,"72",193,"Southern California","ACT","veteran",4,17.5,95,2.6,0.75,"aging",FALSE,TRUE,TRUE,FALSE,85,2013,2013
"Tyrann_Mathieu_NO_2024","Tyrann Mathieu","DB","NO",2024,32,11,32,"69",190,"Louisiana State","ACT","veteran",4,8.8,95,1.3,0.4,"aging",FALSE,TRUE,TRUE,FALSE,85,2013,2013
"Travis_Kelce_KC_2024","Travis Kelce","TE","KC",2024,35,11,87,"77",260,"Cincinnati","ACT","veteran",4,7.5,85,1.1,0.55,"aging",FALSE,TRUE,TRUE,FALSE,85,2013,2013
"Lane_Johnson_PHI_2024","Lane Johnson","OL","PHI",2024,34,11,65,"78",317,"Oklahoma","ACT","veteran",4,6.2,85,0.9,0.4,"aging",FALSE,TRUE,TRUE,FALSE,85,2013,2013
"DeAndre_Hopkins_KC_2024","DeAndre Hopkins","WR","KC",2024,32,11,8,"73",212,"Clemson","ACT","veteran",4,17.5,95,2.6,0.75,"aging",FALSE,TRUE,TRUE,FALSE,85,2013,2013
"Geno_Smith_SEA_2024","Geno Smith","QB","SEA",2024,34,11,7,"75",221,"West Virginia","ACT","veteran",4,21.9,88,3.3,1,"aging",FALSE,TRUE,TRUE,FALSE,85,2013,2013
"Cordarrelle_Patterson_PIT_2024","Cordarrelle Patterson","RB","PIT",2024,33,11,84,"74",238,"Tennessee","ACT","veteran",4,13.1,85,2,0.5,"aging",FALSE,TRUE,TRUE,FALSE,85,2013,2013
"James_Winchester_KC_2024","James Winchester","LS","KC",2024,35,11,41,"75",240,"Oklahoma","ACT","veteran",4,6.2,85,0.9,0.4,"aging",FALSE,TRUE,TRUE,FALSE,85,2013,2013
"Cornelius_Lucas_WAS_2024","Cornelius Lucas","OL","WAS",2024,33,10,78,"80",328,"Kansas State","ACT","veteran",3,8.4,85,1.3,0.4,"aging",FALSE,TRUE,TRUE,FALSE,85,2014,2014
"Mike_Pennel_KC_2024","Mike Pennel","DL","KC",2024,33,10,69,"76",332,"Colorado State-Pueblo","ACT","veteran",3,8.4,85,1.3,0.4,"aging",FALSE,TRUE,TRUE,FALSE,85,2014,2014
"Casey_Kreiter_NYG_2024","Casey Kreiter","LS","NYG",2024,34,10,59,"73",250,"Iowa","ACT","veteran",3,6,85,0.9,0.4,"aging",FALSE,TRUE,TRUE,FALSE,85,2014,2014
"Khalil_Mack_LAC_2024","Khalil Mack","DL","LAC",2024,33,10,52,"75",269,"Buffalo","ACT","veteran",3,8.4,85,1.3,0.4,"aging",FALSE,TRUE,TRUE,FALSE,85,2014,2014
