player_id,player_name,position,team,height,weight,years_exp,rookie_year,birth_date,college
00-0030067,Terron Armstead,OL,MIA,77,304,10,2013,1991-07-23,Arkansas-Pine Bluff
00-0030068,Marquise Goodwin,WR,CLE,69,179,10,2013,1990-11-19,Texas
00-0030070,John Jenkins,DL,LV,75,327,10,2013,1989-07-11,Georgia
00-0030074,David Bakhtiari,OL,GB,76,310,10,2013,1991-09-30,Colorado
00-0030090,Micah Hyde,DB,BUF,72,197,10,2013,1990-12-31,Iowa
00-0030092,Sam Martin,P,BUF,73,211,10,2013,1990-02-27,Appalachian State
00-0030097,David Quessenberry,OL,MIN,77,310,10,2013,1990-08-24,San Jose State
00-0030098,Dustin Hopkins,K,CLE,74,203,10,2013,1990-10-01,Florida State
00-0030114,Jordan Poyer,DB,BUF,72,191,10,2013,1991-04-25,Oregon State
00-0030140,Tress Way,P,WAS,73,220,10,2013,1990-04-18,Oklahoma
00-0030142,Brad Wing,P,PIT,75,192,10,2013,1991-01-27,Louisiana State
00-0030279,Keenan Allen,WR,LAC,74,211,10,2013,1992-04-27,California
00-0030332,Brett Maher,K,LA,72,185,10,2013,1989-11-21,Nebraska
00-0030383,Duron Harmon,DB,CLE,72,205,10,2013,1991-01-24,Rutgers
00-0030386,William Gholston,DL,TB,78,281,10,2013,1991-07-31,Michigan State
00-0030411,Logan Ryan,DB,SF,71,195,10,2013,1991-02-09,Rutgers
00-0030431,Robert Woods,WR,HOU,72,193,10,2013,1992-04-10,Southern California
00-0030459,Tyrann Mathieu,DB,NO,69,190,10,2013,1992-05-13,Louisiana State
00-0030463,A.J. Klein,LB,BUF,73,240,10,2013,1991-07-30,Iowa State
00-0030500,Nicholas Williams,DL,LAC,76,309,10,2013,1990-02-21,Samford
00-0030505,D.J. Fluker,OL,LV,77,342,10,2013,1991-03-13,Alabama
00-0030506,Travis Kelce,TE,KC,77,260,10,2013,1989-10-05,Cincinnati
00-0030513,Latavius Murray,RB,BUF,75,230,10,2013,1990-01-18,Central Florida
00-0030533,Matt Barkley,QB,JAX,74,234,10,2013,1990-09-08,Southern California
00-0030561,Lane Johnson,OL,PHI,78,317,10,2013,1990-05-08,Oklahoma
00-0030564,DeAndre Hopkins,WR,TEN,73,212,10,2013,1992-06-06,Clemson
00-0030565,Geno Smith,QB,SEA,75,221,10,2013,1990-10-10,West Virginia
00-0030578,Cordarrelle Patterson,RB,ATL,74,238,10,2013,1991-03-17,Tennessee
00-0030585,Justin Pugh,OL,NYG,77,311,10,2013,1990-08-15,Syracuse
00-0030615,James Winchester,LS,KC,75,240,10,2013,1989-08-06,Oklahoma
00-0030649,Jonotthan Harrison,OL,MIA,76,300,9,2014,1991-08-25,Florida
00-0030663,Willie Snead,WR,SF,71,205,9,2014,1992-10-17,Ball State
00-0030665,Daniel Sorensen,DB,NO,74,208,9,2014,1990-03-05,Brigham Young
00-0030694,James Hurst,OL,NO,77,310,9,2014,1991-12-17,North Carolina
00-0030725,Cornelius Lucas,OL,WAS,80,328,9,2014,1991-07-18,Kansas State
00-0030757,Mike Pennel,DL,KC,76,332,9,2014,1991-05-09,Colorado State-Pueblo
00-0030792,Justin McCray,OL,CAR,75,317,9,2014,1992-05-31,Central Florida
00-0030827,Tyler Shatley,OL,JAX,75,310,9,2014,1991-05-05,Clemson
00-0030829,Josh Wells,OL,BAL,78,306,9,2014,1991-02-14,James Madison
00-0030869,Tyler Larsen,OL,WAS,76,325,9,2014,1991-07-08,Utah State
00-0030874,Damien Williams,RB,ARI,71,224,9,2014,1992-04-03,Oklahoma
00-0030946,Kerry Hyder,DL,HOU,74,270,9,2014,1991-05-02,Texas Tech
00-0030957,Casey Kreiter,LS,NYG,73,250,9,2014,1990-08-13,Iowa
00-0030968,Keith Smith,RB,ATL,72,240,9,2014,1992-04-08,San Jose State
00-0031019,Corey Linsley,OL,LAC,75,301,9,2014,1991-07-27,Ohio State
00-0031039,James Ferentz,OL,NE,74,300,9,2014,1989-06-05,Iowa
00-0031040,Khalil Mack,DL,LAC,75,269,9,2014,1991-02-22,Buffalo
00-0031054,DaQuan Jones,DL,BUF,76,322,9,2014,1991-12-27,Penn State
00-0031067,Cameron Fleming,OL,DEN,77,320,9,2014,1992-09-03,Stanford
00-0031079,Pat O'Donnell,P,ATL,76,212,9,2014,1991-02-22,Miami
00-0031095,Charles Leno,OL,WAS,75,305,9,2014,1991-10-09,Boise State
00-0031097,Terrance Mitchell,DB,SF,71,190,9,2014,1992-05-17,Oregon
00-0031101,Shaquil Barrett,LB,TB,74,250,9,2014,1992-11-17,Colorado State
00-0031136,Chris Boswell,K,PIT,74,185,9,2014,1991-03-16,Rice
00-0031142,Matt Feiler,OL,TB,78,330,9,2014,1992-07-07,Bloomsburg
00-0031156,Tyler Ott,LS,BAL,75,253,9,2014,1992-02-28,Harvard
00-0031177,Brent Urban,DL,BAL,79,300,9,2014,1991-05-05,Virginia
00-0031203,Cairo Santos,K,CHI,68,160,9,2014,1991-11-12,Tulane
00-0031235,Odell Beckham Jr.,WR,BAL,71,198,9,2014,1992-11-05,Louisiana State
00-0031236,Brandin Cooks,WR,DAL,70,183,9,2014,1993-09-25,Oregon State
00-0031237,Teddy Bridgewater,QB,DET,74,215,9,2014,1992-11-10,Louisville
00-0031253,K'Waun Williams,DB,DEN,69,183,9,2014,1991-07-12,Pittsburgh
00-0031254,Denico Autry,DL,TEN,77,285,9,2014,1990-07-15,Mississippi State
00-0031256,Anthony Barr,LB,MIN,77,255,9,2014,1992-03-18,UCLA
00-0031260,Logan Thomas,TE,WAS,78,250,9,2014,1991-07-01,Virginia Tech
00-0031270,Shelby Harris,DL,CLE,74,290,9,2014,1991-08-11,Illinois State
00-0031279,Jake Matthews,OL,ATL,77,309,9,2014,1992-02-11,Texas A&amp;M
00-0031280,Derek Carr,QB,NO,75,210,9,2014,1991-03-28,Fresno State
00-0031288,AJ McCarron,QB,CIN,75,220,9,2014,1990-09-13,Alabama
00-0031296,C.J. Mosley,LB,NYJ,74,250,9,2014,1992-06-19,Alabama
00-0031298,Jimmie Ward,DB,HOU,71,193,9,2014,1991-07-18,Northern Illinois
00-0031299,Jordan Matthews,TE,CAR,75,215,9,2014,1992-07-16,Vanderbilt
00-0031330,Morgan Moses,OL,BAL,78,330,9,2014,1991-03-03,Virginia
00-0031334,Jason Verrett,DB,SF,70,188,9,2014,1991-06-18,Texas Christian
00-0031345,Jimmy Garoppolo,QB,LV,74,225,9,2014,1991-11-02,Eastern Illinois
00-0031346,Justin Ellis,DL,MIA,74,350,9,2014,1990-12-27,Louisiana Tech
00-0031353,Michael Schofield,OL,DET,78,301,9,2014,1990-11-15,Michigan
00-0031357,C.J. Goodwin,DB,DAL,75,190,9,2014,1990-02-04,"California, Pa."
00-0031360,Kyle Van Noy,LB,BAL,75,250,9,2014,1991-03-26,Brigham Young
00-0031361,Christian Kirksey,LB,BUF,74,235,9,2014,1992-08-31,Iowa
00-0031362,Trai Turner,OL,NO,75,315,9,2014,1993-06-14,Louisiana State
00-0031364,Jadeveon Clowney,LB,BAL,77,255,9,2014,1993-02-14,South Carolina
00-0031367,Gabe Jackson,OL,CAR,75,336,9,2014,1991-07-12,Mississippi State
00-0031372,Bradley Roby,DB,PHI,71,194,9,2014,1992-05-01,Ohio State
00-0031373,Martavis Bryant,WR,DAL,76,211,9,2014,1991-12-20,Clemson
00-0031376,Jerick McKinnon,RB,KC,69,205,9,2014,1992-05-03,Georgia Southern
00-0031381,Davante Adams,WR,LV,73,215,9,2014,1992-12-24,Fresno State
00-0031388,Aaron Donald,DL,LA,73,280,9,2014,1991-05-23,Pittsburgh
00-0031402,Zack Martin,OL,DAL,76,315,9,2014,1990-11-20,Notre Dame
00-0031404,Adrian Phillips,DB,NE,71,210,9,2014,1992-03-28,Texas
00-0031408,Mike Evans,WR,TB,77,231,9,2014,1993-08-21,Texas A&amp;M
00-0031411,Demarcus Lawrence,DL,DAL,75,265,9,2014,1992-04-28,Boise State
00-0031426,Joel Bitonio,OL,CLE,76,320,9,2014,1991-10-11,Nevada
00-0031428,Allen Robinson,WR,PIT,74,220,9,2014,1993-08-24,Penn State
00-0031433,Billy Turner,OL,NYJ,77,310,9,2014,1991-10-17,North Dakota State
00-0031484,Chris Manhertz,TE,DEN,78,255,8,2015,1992-04-10,Canisius
00-0031492,Jason Myers,K,SEA,70,190,8,2015,1991-05-12,Marist
00-0031500,Efe Obada,DL,WAS,78,265,8,2015,1992-04-13,No College
00-0031503,Jameis Winston,QB,NO,76,231,8,2015,1994-01-06,Florida State
00-0031534,La'el Collins,OL,DAL,76,320,8,2015,1993-07-26,Louisiana State
00-0031544,Amari Cooper,WR,CLE,73,211,8,2015,1994-06-17,Alabama
00-0031547,DeVante Parker,WR,NE,75,216,8,2015,1993-01-20,Louisville
00-0031549,Nelson Agholor,WR,BAL,72,198,8,2015,1993-05-24,Southern California
00-0031550,Shaq Thompson,LB,CAR,72,230,8,2015,1994-04-21,Washington
00-0031551,Eddie Goldman,DL,ATL,75,320,8,2015,1994-01-06,Florida State
00-0031554,Eric Kendricks,LB,LAC,72,232,8,2015,1992-02-29,UCLA
00-0031555,Eric Rowe,DB,PIT,73,205,8,2015,1992-10-03,Utah
00-0031557,Jordan Phillips,DL,BUF,78,341,8,2015,1992-09-21,Oklahoma
00-0031561,Hroniss Grasu,OL,LV,75,301,8,2015,1991-08-12,Oregon
00-0031565,Danielle Hunter,LB,MIN,77,252,8,2015,1994-10-29,Louisiana State
00-0031566,Trey Flowers,LB,NE,74,265,8,2015,1993-08-16,Arkansas
00-0031576,Za'Darius Smith,DL,CLE,76,272,8,2015,1992-09-08,Kentucky
00-0031580,Shaq Mason,OL,HOU,73,310,8,2015,1993-08-28,Georgia Tech
00-0031581,Mark Glowinski,OL,NYG,76,310,8,2015,1992-05-03,West Virginia
00-0031583,Grady Jarrett,DL,ATL,72,305,8,2015,1993-04-28,Clemson
00-0031584,Adrian Amos,DB,HOU,72,214,8,2015,1993-04-29,Penn State
00-0031585,MyCole Pruitt,TE,ATL,74,243,8,2015,1992-03-24,Southern Illinois
00-0031587,Bobby McCain,DB,NYG,69,192,8,2015,1993-08-18,Memphis
00-0031588,Stefon Diggs,WR,BUF,72,191,8,2015,1993-11-29,Maryland
00-0031595,Michael Burton,RB,DEN,72,240,8,2015,1992-02-01,Rutgers
00-0031596,David Mayo,LB,WAS,74,245,8,2015,1993-08-18,Texas State
00-0031608,Quandre Diggs,DB,SEA,69,197,8,2015,1993-01-22,Texas
00-0031610,Darren Waller,TE,NYG,78,255,8,2015,1992-09-13,Georgia Tech
00-0031619,Christian Covington,DL,LAC,74,305,8,2015,1993-10-16,Rice
00-0031687,Raheem Mostert,RB,MIA,70,197,8,2015,1992-04-09,Purdue
00-0031690,Eric Tomlinson,TE,IND,78,263,8,2015,1992-04-22,Texas-El Paso
00-0031734,Chris Reed,OL,MIN,75,320,8,2015,1992-07-22,Minn. State-Mankato
00-0031740,Neville Hewitt,LB,HOU,74,234,8,2015,1993-04-06,Marshall
00-0031763,DeAndre Carter,WR,LV,68,190,8,2015,1993-04-10,Sacramento State
00-0031785,Troy Hill,DB,CAR,70,184,8,2015,1991-08-29,Oregon
00-0031795,DeShawn Williams,DL,CAR,73,292,8,2015,1992-12-29,Clemson
00-0031800,Taylor Heinicke,QB,ATL,73,210,8,2015,1993-03-15,Old Dominion
00-0031852,David Andrews,OL,NE,75,300,8,2015,1992-07-10,Georgia
00-0031868,Damiere Byrd,WR,HOU,69,180,8,2015,1993-01-27,South Carolina
00-0031870,Dean Marlowe,DB,LAC,73,208,8,2015,1992-07-25,James Madison
00-0031893,Jesse Davis,OL,SF,78,325,8,2015,1991-09-15,Idaho
00-0031898,Alex Singleton,LB,DEN,74,242,8,2015,1993-12-07,Montana State
00-0031911,Rick Lovato,LS,PHI,74,249,8,2015,1992-09-09,Old Dominion
00-0031921,Kendall Lamm,OL,MIA,77,310,8,2015,1992-06-05,Appalachian State
00-0031923,Greg Mancz,OL,BUF,76,310,8,2015,1992-04-23,Toledo
00-0031933,Leonard Williams,DL,SEA,77,302,8,2015,1994-06-20,Southern California
00-0031935,Preston Smith,LB,GB,77,265,8,2015,1992-11-17,Mississippi State
00-0031936,Mitch Morse,OL,BUF,78,305,8,2015,1992-04-21,Missouri
00-0031938,Carl Davis,DL,DAL,77,320,8,2015,1992-03-02,Iowa
00-0031941,Jamison Crowder,WR,WAS,69,177,8,2015,1993-06-17,Duke
00-0031957,Rakeem Nunez-Roches,DL,NYG,74,307,8,2015,1993-07-03,Southern Mississippi
00-0031958,Austin Reiter,OL,KC,75,300,8,2015,1991-11-27,South Florida
00-0032009,Adam Humphries,WR,HOU,71,195,8,2015,1993-06-24,Clemson
00-0032052,Dante Fowler Jr.,DL,DAL,75,255,8,2015,1994-08-03,Florida
00-0032053,Brandon Scherff,OL,JAX,77,315,8,2015,1991-12-26,Iowa
00-0032054,Breshad Perriman,WR,IND,74,215,8,2015,1993-09-10,Central Florida
00-0032062,Blake Bell,TE,KC,78,252,8,2015,1991-08-07,Oklahoma
00-0032065,Bradley Pinion,P,ATL,77,240,8,2015,1994-06-01,Clemson
00-0032071,Trenton Brown,OL,NE,80,380,8,2015,1993-04-13,Florida
00-0032103,Denzel Perryman,LB,HOU,71,240,8,2015,1992-12-05,Miami
00-0032104,Ameer Abdullah,RB,LV,69,203,8,2015,1993-06-13,Nebraska
00-0032107,Angelo Blackson,DL,JAX,76,318,8,2015,1992-11-14,Auburn
00-0032109,Kwon Alexander,LB,PIT,73,227,8,2015,1994-08-03,Louisiana State
00-0032127,Markus Golden,LB,PIT,74,260,8,2015,1991-03-13,Missouri
00-0032128,Chris Conley,WR,SF,75,205,8,2015,1992-10-25,Georgia
00-0032129,Jordan Hicks,LB,MIN,73,236,8,2015,1992-06-27,Texas
00-0032132,Max Garcia,OL,NO,76,309,8,2015,1991-11-09,Florida
00-0032134,C.J. Uzomah,TE,NYJ,78,260,8,2015,1993-01-14,Auburn
00-0032135,Jesse James,TE,LV,79,250,8,2015,1994-06-04,Penn State
00-0032141,Geoff Swaim,TE,ARI,76,260,8,2015,1993-09-16,Texas
00-0032143,Danny Shelton,DL,KC,74,345,8,2015,1993-08-20,Washington
